Category,Name,Price,Small,Medium,Large,Description
broiler,Spicy Fish (Broiled Cod Loin),32.95,,,,
broiler,Broiled Fish,28.95,,,,
broiler,Broiled Sea Scallops,32.95,,,,
broiler,Broiled Seafood Platter,36.95,,,,
broiler,Broiled Swordfish,29.95,,,,
broiler,Broiled Salmon,28.95,,,,
broiler,8-Piece Jumbo Broiled Shrimp,32.95,,,,
broiler,Baked Stuffed Shrimp,32.95,,,,
favorites,1½ lbs. of Fresh Maine Steamers,27.95,,,,Served with drawn butter and clam broth
plates,Fish n Chips,20.95,,,,
plates,Seafood Plate,M.P.,,,,
plates,Fried Lobster Plate,32.95,,,,
plates,Clam Plate,M.P.,,,,
plates,Clam Strip Plate,23.95,,,,
plates,Oyster Plate,27.95,,,,
plates,Scallop Plate,30.95,,,,
plates,Shrimp Plate,24.95,,,,
plates,Fish Plate,21.95,,,,
plates,Calamari Plate,23.95,,,,
plates,Chicken Finger Plate,17.95,,,,
plates,Fish Cake Plate,16.95,,,,
plates,Clam Fritter Plate,16.95,,,,
plates,Crabcake Plate,23.95,,,,
plates,Chicken Wing Plate,17.95,,,,
baskets,Clam Roll Basket,M.P.,,,,
baskets,Clam Strip Roll Basket,17.95,,,,
baskets,Scallop Roll Basket,24.95,,,,
baskets,Shrimp Roll Basket,18.95,,,,
baskets,Calamari Roll Basket,17.95,,,,
baskets,Oyster Roll Basket,20.95,,,,
sandwiches,Turkey,9.95,,,,
sandwiches,Tuna Salad,9.95,,,,
sandwiches,Chicken Club,11.95,,,,
sandwiches,Cheeseburger Club,12.95,,,,
sandwiches,Turkey Club,11.95,,,,
sandwiches,Tuna Club,11.95,,,,
sandwiches,Hamburger Club,12.95,,,,
favorites,Fried Fish Sandwich,13.95,,,,
favorites,Crab Cake Sandwich,15.95,,,,
griddle,Hot dog,4.95,,,,
griddle,Hamburger,6.95,,,,
griddle,Cheeseburger,7.45,,,,
griddle,Pepperburger,7.45,,,,
griddle,Mushroom Burger,7.45,,,,
griddle,Tony Burger,8.75,,,,
griddle,Grilled Cheese,5.95,,,,
griddle,Grilled Cheese & Bacon,8.75,,,,
griddle,Grilled Cheese & Tomato,6.25,,,,
griddle,Grilled Chicken Sandwich,7.95,,,,
griddle,B.L.T.,9.95,,,,
griddle,Tuna Melt,9.95,,,,
wraps,Chicken Caesar,10.95,,,,
wraps,Buffalo Chicken,10.95,,,,
wraps,Greek Chicken Kabob,13.95,,,,
wraps,Buffalo Clam Strip,10.95,,,,
wraps,Vegetarian,10.95,,,,
wraps,Steak & Cheese,11.95,,,,
wraps,Chipotle Chicken,10.95,,,,
wraps,Turkey Club,11.95,,,,
wraps,Tuna with lettuce & tomato,10.95,,,,
wraps,Hummus & Tabouli,10.95,,,,
wraps,Falafel,10.95,,,,
wraps,Bacon Lettuce Tomato,10.95,,,,
wraps,Steak Bomb,13.95,,,,
subs,Steak & Cheese,11.95,,,,
subs,Steak & Cheese Bomb,13.95,,,,
subs,BLT,10.95,,,,
subs,Cheeseburger,13.95,,,,
subs,Turkey,10.95,,,,
subs,Tuna,10.95,,,,
subs,Steak Tip,14.95,,,,
favorites,Chicken Kabob,20.95,,,,Delicious marinated chicken served with a Syrian pocket and greek salad
favorites,Steak Tips,24.95,,,,"Marinated, served with french fries and small garden salad"
salads,Garden Salad with Fresh Lobster,31.95,,,,
salads,Garden Salad with Grilled Shrimp,23.95,,,,
salads,Garden Salad with Seared Sea Scallops,28.95,,,,
salads,Garden Salad with Steak Tips,19.95,,,,
salads,Tossed Salad,9.95,,,,
salads,"Tossed Salad with Chicken, Turkey, or Tuna",15.95,,,,
salads,Caesar Salad,9.95,,,,
salads,Caesar Salad with Chicken,15.95,,,,
salads,Greek Salad,11.95,,,,
salads,Greek Salad with Chicken,17.95,,,,
kids,Al Pal Burger (cheeseburger),9.95,,,,
kids,Brian Burger (hamburger),9.95,,,,
kids,Nikki Cheese (grilled cheese),9.95,,,,
kids,Dana Dog (hot dog),9.95,,,,
kids,Erika’s Fun Fish (fish sticks),10.95,,,,
kids,Nat Nuggets (chicken fingers),9.95,,,,
box,Whole Clams,,M.P.,M.P.,M.P.,
box,Clam Strips,,17.95,27.95,36.95,
box,Scallops,,24.95,35.95,61.95,
box,Oysters,,20.95,31.95,48.95,
box,Shrimp,,18.95,28.95,45.95,
box,Calamari,,17.95,27.95,37.95,
box,Chicken Fingers,,11.95,17.95,24.95,
box,Chicken Wings,,11.95,17.95,24.95,
box,French Fries,,4.95,6.95,9.95,
box,Onion Rings,,6.95,8.95,11.95,
favorites,Tony’s Own Homemade Clam Chowder,,6.5,8.25,,
sides,Clam Fritters,,10.95,15.95,,
sides,Corn Fritters,9.95,,,,
sides,Home-Made Coleslaw,,4.25,6.25,,
sides,House Rice Pilaf,,4.25,6.25,,
sides,Mozzarella Stix,,10.95,15.95,,
sides,Pizza Rolls,7.25,,,,2 rolls
sides,Fresh Corn on the Cob,2.95,,,,
sides,Boneless Buffalo Chicken Fingers with Blue Cheese Dressing,13.95,,,,
sides,Jalapeño Chile Popper Bites,8.95,,,,
sides,Fried Buffalo Cauliflower,11.95,,,,